Sheet12,2.18E-05,2.25E-05,2.31E-05,2.29E-05,2.59E-05,3.11E-05,1.64E-05,1.81E-05,2.06E-05,2.31E-05,2.59E-05,2.97E-05,3.80E-05,4.62E-05,5.61E-05,5.83E-05,6.07E-05,6.05E-05,6.14E-05,5.99E-05,4.10E-05,4.60E-05,5.38E-05,6.22E-05,7.54E-05,9.38E-05,5.25E-05,5.99E-05,6.58E-05,7.12E-05,4.85E-04,5.04E-04,5.43E-04,5.84E-04,7.30E-04,1.02E-03,2.64E-04,3.73E-04,4.83E-04,5.87E-04
Sheet13,2.20E-05,2.30E-05,2.19E-05,2.31E-05,2.67E-05,3.24E-05,1.69E-05,1.87E-05,2.04E-05,2.19E-05,2.56E-05,2.87E-05,3.82E-05,4.71E-05,5.39E-05,5.86E-05,5.98E-05,6.03E-05,6.03E-05,5.95E-05,3.95E-05,4.58E-05,5.28E-05,6.07E-05,7.56E-05,9.37E-05,5.39E-05,6.12E-05,6.47E-05,7.05E-05,4.85E-04,5.04E-04,5.43E-04,5.81E-04,7.29E-04,1.01E-03,2.67E-04,3.75E-04,4.83E-04,5.88E-04
Sheet14,2.22E-05,2.24E-05,2.34E-05,2.35E-05,2.55E-05,3.27E-05,1.60E-05,1.84E-05,2.06E-05,2.29E-05,2.53E-05,2.99E-05,3.83E-05,4.62E-05,5.56E-05,5.82E-05,6.16E-05,5.94E-05,6.17E-05,5.98E-05,3.92E-05,4.35E-05,5.23E-05,6.14E-05,7.40E-05,9.36E-05,5.51E-05,5.92E-05,6.66E-05,7.00E-05,4.84E-04,5.02E-04,5.43E-04,5.79E-04,7.31E-04,1.01E-03,2.65E-04,3.73E-04,4.82E-04,5.91E-04
Sheet15,2.13E-05,2.21E-05,2.27E-05,2.41E-05,2.68E-05,3.34E-05,1.64E-05,1.87E-05,2.11E-05,2.34E-05,2.66E-05,2.99E-05,3.82E-05,4.76E-05,5.51E-05,5.74E-05,6.02E-05,5.99E-05,6.06E-05,5.94E-05,4.01E-05,4.54E-05,5.21E-05,6.22E-05,7.33E-05,9.21E-05,5.39E-05,5.90E-05,6.52E-05,6.95E-05,4.81E-04,5.03E-04,5.42E-04,5.85E-04,7.26E-04,1.02E-03,2.64E-04,3.69E-04,4.80E-04,5.87E-04
Sheet16,2.15E-05,2.29E-05,2.29E-05,2.31E-05,2.67E-05,3.27E-05,1.47E-05,1.77E-05,2.04E-05,2.36E-05,2.59E-05,2.88E-05,3.76E-05,4.66E-05,5.43E-05,5.83E-05,5.97E-05,6.00E-05,6.11E-05,5.87E-05,4.13E-05,4.38E-05,5.27E-05,6.16E-05,7.45E-05,9.51E-05,5.44E-05,5.83E-05,6.42E-05,6.98E-05,4.89E-04,5.05E-04,5.41E-04,5.81E-04,7.30E-04,1.02E-03,2.64E-04,3.73E-04,4.81E-04,5.86E-04
Sheet17,2.16E-05,2.25E-05,2.33E-05,2.44E-05,2.61E-05,3.15E-05,1.58E-05,1.76E-05,2.10E-05,2.40E-05,2.59E-05,3.04E-05,3.88E-05,4.70E-05,5.60E-05,5.82E-05,5.99E-05,6.09E-05,6.12E-05,6.01E-05,4.08E-05,4.46E-05,5.36E-05,6.07E-05,7.56E-05,9.33E-05,5.36E-05,6.02E-05,6.50E-05,7.17E-05,4.88E-04,5.03E-04,5.45E-04,5.76E-04,7.32E-04,1.02E-03,2.68E-04,3.74E-04,4.80E-04,5.87E-04
Sheet18,2.21E-05,2.20E-05,2.35E-05,2.32E-05,2.62E-05,3.24E-05,1.57E-05,1.89E-05,2.08E-05,2.38E-05,2.68E-05,3.02E-05,3.77E-05,4.84E-05,5.62E-05,5.85E-05,6.09E-05,6.04E-05,6.07E-05,6.06E-05,4.00E-05,4.32E-05,5.26E-05,6.10E-05,7.60E-05,9.26E-05,5.42E-05,5.96E-05,6.62E-05,7.04E-05,4.85E-04,5.05E-04,5.46E-04,5.82E-04,7.28E-04,1.02E-03,2.66E-04,3.74E-04,4.78E-04,5.84E-04
Sheet19,2.14E-05,2.16E-05,2.35E-05,2.27E-05,2.64E-05,3.31E-05,1.56E-05,1.86E-05,1.99E-05,2.23E-05,2.54E-05,2.97E-05,3.79E-05,4.59E-05,5.56E-05,5.77E-05,6.06E-05,6.05E-05,5.96E-05,5.99E-05,4.01E-05,4.44E-05,5.31E-05,6.14E-05,7.48E-05,9.36E-05,5.38E-05,5.86E-05,6.42E-05,7.19E-05,4.83E-04,5.05E-04,5.43E-04,5.81E-04,7.27E-04,1.01E-03,2.66E-04,3.75E-04,4.83E-04,5.89E-04
Sheet20,2.15E-05,2.25E-05,2.28E-05,2.26E-05,2.61E-05,3.31E-05,1.59E-05,1.85E-05,2.03E-05,2.31E-05,2.57E-05,3.09E-05,3.81E-05,4.61E-05,5.60E-05,5.85E-05,6.11E-05,5.99E-05,6.05E-05,6.01E-05,4.06E-05,4.36E-05,5.36E-05,6.15E-05,7.52E-05,9.37E-05,5.25E-05,6.02E-05,6.45E-05,7.00E-05,4.85E-04,5.05E-04,5.41E-04,5.82E-04,7.31E-04,1.01E-03,2.66E-04,3.73E-04,4.80E-04,5.87E-04
Sheet21,2.21E-05,2.29E-05,2.24E-05,2.38E-05,2.60E-05,3.26E-05,1.61E-05,1.87E-05,2.13E-05,2.20E-05,2.61E-05,2.95E-05,3.87E-05,4.62E-05,5.52E-05,5.75E-05,6.06E-05,5.97E-05,6.03E-05,5.95E-05,4.01E-05,4.43E-05,5.21E-05,6.14E-05,7.53E-05,9.28E-05,5.24E-05,5.94E-05,6.69E-05,7.07E-05,4.85E-04,5.04E-04,5.43E-04,5.80E-04,7.31E-04,1.02E-03,2.66E-04,3.72E-04,4.79E-04,5.89E-04
